book_id,authors,average_rating,ratings_count,language_code
1,"J.K. Rowling, Mary GrandPré",4.54,1678823,eng
2,"J.K. Rowling, Mary GrandPré",4.46,1735368,eng
3,"J.K. Rowling, Mary GrandPré",4.44,4602479,eng
5,"J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,1832823,eng
6,"J.K. Rowling, Mary GrandPré",4.53,1753043,eng
8,"J.K. Rowling, Mary GrandPré",4.77,33220,eng
10,J.K. Rowling,4.73,24618,eng
11,Douglas Adams,4.2,936782,en-US
13,Douglas Adams,4.37,222842,eng
21,Bill Bryson,4.19,191535,en-US
24,Bill Bryson,4.05,58688,eng
25,Bill Bryson,3.89,44610,en-US
26,Bill Bryson,3.83,40254,en-US
27,Bill Bryson,3.88,42170,en-US
28,Bill Bryson,3.91,66947,eng
29,Bill Bryson,3.95,24133,en-US
30,J.R.R. Tolkien,4.59,90907,eng
33,J.R.R. Tolkien,4.47,389054,eng
34,J.R.R. Tolkien,4.34,1766803,eng
36,"Chris   Smith, Christopher Lee, Richard Taylor",4.53,18788,eng
50,Gary Paulsen,3.68,222553,en-US
67,Edward P. Jones,3.82,26550,eng
93,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",3.97,144497,eng
98,"Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome",3.86,10807,eng
105,Frank Herbert,3.89,34822,eng
106,Frank Herbert,3.86,82580,eng
112,Frank Herbert,3.9,74133,eng
117,Frank Herbert,3.83,40415,eng
119,Gary Russell,4.59,24340,en-US
122,Bryce Courtenay,4.34,57312,eng
231,Tom Wolfe,3.4,19293,en-US
249,Henry Miller,3.71,45518,eng
250,Henry Miller,3.85,12082,eng
264,"Henry James, Patricia Crick",3.76,55019,eng
275,"Marguerite Duras, Barbara Bray, Maxine Hong Kingston",3.76,18947,eng
291,"Kahlil Gibran, Anthony R. Ferris",3.93,5611,eng
295,Robert Louis Stevenson,3.82,268012,eng
304,"George Eliot, Edmund White",3.82,17723,eng
320,"Gabriel García Márquez, Gregory Rabassa",4.04,490565,eng
343,"Patrick Süskind, John E. Woods",4.0,178135,eng
348,Robert A. Heinlein,4.0,15298,eng
350,Robert A. Heinlein,3.91,220301,eng
353,Robert A. Heinlein,3.96,25603,eng
355,Robert A. Heinlein,3.77,14592,en-US
357,Douglas Adams,4.05,59276,en-US
359,Douglas Adams,3.92,20177,eng
360,Douglas Adams,3.96,72426,en-US
365,Douglas Adams,3.97,89569,en-US
378,"Norton Juster, Jules Feiffer",4.22,178432,en-US
386,Nick Flynn,3.77,8441,eng
400,Don DeLillo,3.98,10195,eng
415,Thomas Pynchon,4.03,24990,eng
424,Joan Didion,4.24,17787,
428,"Joan Didion, David Thomson",3.86,17411,eng
431,"Paul Auster, Art Spiegelman",3.92,34730,eng
432,Paul Auster,3.81,10157,eng
446,Paul Auster,3.81,15635,eng
447,Paul Auster,3.99,12170,eng
449,Paul Auster,3.66,8272,eng
456,Paul Auster,3.95,10002,eng
475,Jared Diamond,3.92,44238,en-GB
597,Chuck Klosterman,3.85,23015,en-US
599,Chuck Klosterman,3.75,56548,en-US
621,David Bach,3.9,10091,
629,Robert M. Pirsig,3.76,139411,eng
647,Naomi Klein,3.86,18792,en-US
656,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",4.11,168037,eng
662,"Ayn Rand, Leonard Peikoff",3.68,283295,eng
665,"Ayn Rand, Nathaniel Branden",3.47,10198,eng
667,Ayn Rand,3.62,95620,eng
668,"Ayn Rand, Leonard Peikoff",3.89,20994,eng
676,Billy Collins,4.24,10999,eng
698,Anne Tyler,3.53,15484,eng
703,Philip Roth,3.71,26262,eng
706,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",4.02,74511,eng
760,"Gabriel García Márquez, Edith Grossman",3.59,33534,eng
771,Brian Greene,4.06,32626,en-US
816,Neal Stephenson,4.25,72683,eng
822,Neal Stephenson,4.24,17381,en-US
823,Neal Stephenson,3.92,27675,en-US
825,Neal Stephenson,3.7,13353,eng
827,Neal Stephenson,4.19,61836,eng
