term,index
30,0
500,1
abode,2
alacrity,3
amendments,4
american,5
anderson,6
antichità,7
asura,8
atacan,9
autoritratto,10
bag,11
balance,12
basic,13
bay,14
bin,15
biscuits,16
bitter,17
bones,18
book,19
boyband,20
brain,21
britain,22
british,23
brown,24
care,25
chocolate,26
christian,27
church,28
climbing,29
colorado,30
congregation,31
constitution,32
control,33
cookie,34
crypto,35
dall,36
das,37
david,38
davis,39
deadly,40
dell,41
der,42
des,43
di,44
die,45
discerning,46
distraction,47
dream,48
dummies,49
economics,50
einzige,51
emily,52
engel,53
enlightened,54
environmental,55
estate,56
estrellas,57
eucharist,58
everyday,59
exploring,60
fae,61
falls,62
fare,63
final,64
financial,65
fine,66
folks,67
force,68
freedom,69
friend,70
future,71
gateway,72
girls,73
god,74
got,75
government,76
great,77
guide,78
gumma,79
hallo,80
health,81
heart,82
height,83
hier,84
history,85
holiday,86
hunt,87
hârtie,88
ich,89
idaho,90
ii,91
im,92
immagine,93
impact,94
india,95
inn,96
innovation,97
inspired,98
interrelationship,99
investing,100
islamic,101
israel,102
james,103
jennifer,104
jilted,105
john,106
johnson,107
judaism,108
kind,109
kv,110
label,111
lady,112
land,113
las,114
late,115
learning,116
life,117
linda,118
line,119
liturgy,120
lost,121
love,122
luck,123
löwen,124
maclaurin,125
manolos,126
match,127
michael,128
michelle,129
miller,130
mimis,131
mindless,132
misfortune,133
money,134
moore,135
moving,136
murder,137
mystery,138
myths,139
nanna,140
night,141
ninna,142
nos,143
notes,144
overrule,145
palatul,146
path,147
people,148
plan,149
practices,150
private,151
programs,152
project,153
proposed,154
prüfungen,155
quick,156
real,157
rescue,158
rich,159
robert,160
sarah,161
schisms,162
science,163
scream,164
secrets,165
sects,166
segments,167
selfie,168
shadow,169
shelter,170
simple,171
smarter,172
smith,173
snap,174
sovereign,175
special,176
startup,177
statement,178
stops,179
storia,180
stories,181
storytelling,182
strengthening,183
sunday,184
supplemental,185
surround,186
survive,187
sweet,188
sé,189
taking,190
taylor,191
tecnologia,192
terror,193
theologians,194
thomas,195
trading,196
transformed,197
transmission,198
trap,199
use,200
village,201
walking,202
wandering,203
war,204
wars,205
way,206
west,207
wilson,208
wolf,209
wolves,210
woodrow,211
work,212
working,213
world,214
worship,215
young,216
zeichen,217
