id,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,genres,description
1,1,1,1,1,5248643565,7717471861885,"Sarah Moore, Michael Anderson",1929.0,Woodrow Wilson,Woodrow Wilson,eng,1.57,2433,2433,243,729,608,486,364,246,https://example.com/bookcovers/1.jpg,https://example.com/bookcovers/small/1.jpg,"Young Adult, Biography, Science Fiction","This is a fictional description for the book 'Woodrow Wilson' by Sarah Moore, Michael Anderson."
2,2,2,2,1,4417479043,6046526771112,"John Taylor, Linda Taylor",1968.0,"Hallo, hier bin ich!","Hallo, hier bin ich!",eng,4.84,523,523,52,5,20,52,130,316,https://example.com/bookcovers/2.jpg,https://example.com/bookcovers/small/2.jpg,"Historical Fiction, Horror, Thriller","This is a fictional description for the book 'Hallo, hier bin ich!' by John Taylor, Linda Taylor."
3,3,3,3,1,7735132307,4135911301652,David Davis,1936.0,Die Prüfungen der Engel,Die Prüfungen der Engel,eng,3.19,1616,1616,161,161,242,646,404,163,https://example.com/bookcovers/3.jpg,https://example.com/bookcovers/small/3.jpg,"Non-fiction, Mystery",This is a fictional description for the book 'Die Prüfungen der Engel' by David Davis.
4,4,4,4,1,4185573845,2513856629225,"Michelle Wilson, Jennifer Moore, Jennifer Moore",1947.0,A Life's Work: Learning to Overrule My Mindless Brain,A Life's Work: Learning to Overrule My Mindless Brain,eng,1.14,4331,4331,433,1299,1082,866,649,435,https://example.com/bookcovers/4.jpg,https://example.com/bookcovers/small/4.jpg,"Thriller, Historical Fiction","This is a fictional description for the book 'A Life's Work: Learning to Overrule My Mindless Brain' by Michelle Wilson, Jennifer Moore, Jennifer Moore."
5,5,5,5,1,7011637661,7379629602975,"Sarah Thomas, Michelle Davis, Sarah Davis",1935.0,A Bag of Bones N' Chocolate Biscuits,A Bag of Bones N' Chocolate Biscuits,eng,1.42,9509,9509,950,2852,2377,1901,1426,953,https://example.com/bookcovers/5.jpg,https://example.com/bookcovers/small/5.jpg,Science Fiction,"This is a fictional description for the book 'A Bag of Bones N' Chocolate Biscuits' by Sarah Thomas, Michelle Davis, Sarah Davis."
6,6,6,6,1,5941590467,4231311570666,"Robert Anderson, David Thomas",1959.0,The Gumma wars,The Gumma wars,eng,3.51,4506,4506,450,225,450,1126,1802,903,https://example.com/bookcovers/6.jpg,https://example.com/bookcovers/small/6.jpg,"Romance, Historical Fiction","This is a fictional description for the book 'The Gumma wars' by Robert Anderson, David Thomas."
7,7,7,7,1,4350131805,5777212483239,"Jennifer Davis, Michelle Moore",1966.0,Mimis Village And How Basic Health Care Transformed It,Mimis Village And How Basic Health Care Transformed It,eng,1.26,7332,7332,733,2199,1833,1466,1099,735,https://example.com/bookcovers/7.jpg,https://example.com/bookcovers/small/7.jpg,Self-help,"This is a fictional description for the book 'Mimis Village And How Basic Health Care Transformed It' by Jennifer Davis, Michelle Moore."
8,8,8,8,1,8664079678,4881750498082,"Linda Davis, Linda Brown",2015.0,World War II,World War II,eng,2.88,9511,9511,951,2853,2377,1902,1426,953,https://example.com/bookcovers/8.jpg,https://example.com/bookcovers/small/8.jpg,"Romance, Literary Fiction","This is a fictional description for the book 'World War II' by Linda Davis, Linda Brown."
9,9,9,9,1,8727992467,3638872936406,Sarah Johnson,1997.0,Ninna nanna,Ninna nanna,eng,2.36,2337,2337,233,701,584,467,350,235,https://example.com/bookcovers/9.jpg,https://example.com/bookcovers/small/9.jpg,Young Adult,This is a fictional description for the book 'Ninna nanna' by Sarah Johnson.
10,10,10,10,1,7913209205,3041519716346,"David Davis, Jennifer Davis",1995.0,The Holiday Trap,The Holiday Trap,eng,3.26,362,362,36,36,54,144,90,38,https://example.com/bookcovers/10.jpg,https://example.com/bookcovers/small/10.jpg,"Science Fiction, Biography","This is a fictional description for the book 'The Holiday Trap' by David Davis, Jennifer Davis."
11,11,11,11,1,5612950357,5419968734878,Sarah Wilson,1902.0,Something Special,Something Special,eng,2.84,5350,5350,535,1605,1337,1070,802,536,https://example.com/bookcovers/11.jpg,https://example.com/bookcovers/small/11.jpg,"Science Fiction, Young Adult, Fantasy",This is a fictional description for the book 'Something Special' by Sarah Wilson.
12,12,12,12,1,1946819244,9765899933628,"David Taylor, James Thomas, David Anderson",1966.0,Palatul de hârtie,Palatul de hârtie,eng,4.0,6584,6584,658,131,526,987,2304,2636,https://example.com/bookcovers/12.jpg,https://example.com/bookcovers/small/12.jpg,Mystery,"This is a fictional description for the book 'Palatul de hârtie' by David Taylor, James Thomas, David Anderson."
13,13,13,13,1,7882761491,486574513102,Robert Moore,1961.0,Alacrity,Alacrity,eng,3.32,2525,2525,252,252,378,1010,631,254,https://example.com/bookcovers/13.jpg,https://example.com/bookcovers/small/13.jpg,"Non-fiction, Literary Fiction, Science Fiction",This is a fictional description for the book 'Alacrity' by Robert Moore.
14,14,14,14,1,4769785704,1128438929191,"John Anderson, Sarah Miller, David Wilson",1993.0,Deadly Force,Deadly Force,eng,3.49,8324,8324,832,832,1248,3329,2081,834,https://example.com/bookcovers/14.jpg,https://example.com/bookcovers/small/14.jpg,Non-fiction,"This is a fictional description for the book 'Deadly Force' by John Anderson, Sarah Miller, David Wilson."
15,15,15,15,1,3169492600,7058033306544,"Emily Anderson, David Wilson",2002.0,Bitter Sweet Distraction,Bitter Sweet Distraction,eng,1.32,5564,5564,556,1669,1391,1112,834,558,https://example.com/bookcovers/15.jpg,https://example.com/bookcovers/small/15.jpg,"Fantasy, Self-help, Historical Fiction","This is a fictional description for the book 'Bitter Sweet Distraction' by Emily Anderson, David Wilson."
16,16,16,16,1,3278425264,2182458312142,"Linda Thomas, Michelle Brown",1935.0,Jilted,Jilted,eng,3.3,6530,6530,653,653,979,2612,1632,654,https://example.com/bookcovers/16.jpg,https://example.com/bookcovers/small/16.jpg,Historical Fiction,"This is a fictional description for the book 'Jilted' by Linda Thomas, Michelle Brown."
17,17,17,17,1,2069546506,9630848668565,"James Johnson, Linda Taylor",1936.0,The Science of Storytelling,The Science of Storytelling,eng,4.44,1272,1272,127,25,101,190,445,511,https://example.com/bookcovers/17.jpg,https://example.com/bookcovers/small/17.jpg,Historical Fiction,"This is a fictional description for the book 'The Science of Storytelling' by James Johnson, Linda Taylor."
18,18,18,18,1,5116709681,8498613688767,John Johnson,1952.0,A Colorado Match                            Love Inspired,A Colorado Match                            Love Inspired,eng,1.43,8871,8871,887,2661,2217,1774,1330,889,https://example.com/bookcovers/18.jpg,https://example.com/bookcovers/small/18.jpg,"Fantasy, Romance",This is a fictional description for the book 'A Colorado Match                            Love Inspired' by John Johnson.
19,19,19,19,1,7008623369,5821598203960,"David Brown, Jennifer Smith, Emily Thomas",1930.0,A Fine Line: A balance to survive,A Fine Line: A balance to survive,eng,1.71,3911,3911,391,1173,977,782,586,393,https://example.com/bookcovers/19.jpg,https://example.com/bookcovers/small/19.jpg,"Horror, Thriller","This is a fictional description for the book 'A Fine Line: A balance to survive' by David Brown, Jennifer Smith, Emily Thomas."
20,20,20,20,1,1324904660,2398349733944,"Linda Thomas, Emily Thomas",1963.0,Notes from a Friend: A Quick and Simple Guide to Taking Control of Your Life,Notes from a Friend: A Quick and Simple Guide to Taking Control of Your Life,eng,2.4,9937,9937,993,2981,2484,1987,1490,995,https://example.com/bookcovers/20.jpg,https://example.com/bookcovers/small/20.jpg,"Science Fiction, Romance, Mystery","This is a fictional description for the book 'Notes from a Friend: A Quick and Simple Guide to Taking Control of Your Life' by Linda Thomas, Emily Thomas."
21,21,21,21,1,8620749645,9492223750097,"Robert Moore, James Moore",2018.0,Great sects and schisms in Judaism,Great sects and schisms in Judaism,eng,2.79,8264,8264,826,2479,2066,1652,1239,828,https://example.com/bookcovers/21.jpg,https://example.com/bookcovers/small/21.jpg,Mystery,"This is a fictional description for the book 'Great sects and schisms in Judaism' by Robert Moore, James Moore."
22,22,22,22,1,3031445659,529442308651,"Sarah Miller, Jennifer Thomas",1962.0,When the Night Falls,When the Night Falls,eng,2.95,2172,2172,217,651,543,434,325,219,https://example.com/bookcovers/22.jpg,https://example.com/bookcovers/small/22.jpg,Horror,"This is a fictional description for the book 'When the Night Falls' by Sarah Miller, Jennifer Thomas."
23,23,23,23,1,8974003368,6637770612272,Linda Anderson,1981.0,The lady of secrets,The lady of secrets,eng,4.03,9129,9129,912,182,730,1369,3195,3653,https://example.com/bookcovers/23.jpg,https://example.com/bookcovers/small/23.jpg,"Mystery, Non-fiction",This is a fictional description for the book 'The lady of secrets' by Linda Anderson.
24,24,24,24,1,1060193529,2415307204657,"Michelle Moore, Linda Smith, Linda Davis",1975.0,We Are Theologians: Strengthening the People of God,We Are Theologians: Strengthening the People of God,eng,3.28,3564,3564,356,356,534,1425,891,358,https://example.com/bookcovers/24.jpg,https://example.com/bookcovers/small/24.jpg,"Science Fiction, Literary Fiction","This is a fictional description for the book 'We Are Theologians: Strengthening the People of God' by Michelle Moore, Linda Smith, Linda Davis."
25,25,25,25,1,3800089223,6047865128087,"James Brown, Michelle Miller, John Anderson",1925.0,Girls out late (Girls #3),Girls out late (Girls #3),eng,2.89,1288,1288,128,386,322,257,193,130,https://example.com/bookcovers/25.jpg,https://example.com/bookcovers/small/25.jpg,"Non-fiction, Romance, Historical Fiction","This is a fictional description for the book 'Girls out late (Girls #3)' by James Brown, Michelle Miller, John Anderson."
26,26,26,26,1,3213958096,1801177010593,"David Brown, Sarah Wilson",1955.0,What's Luck Got to Do with It?: How Smarter Government Can Rescue the American Dream,What's Luck Got to Do with It?: How Smarter Government Can Rescue the American Dream,eng,2.47,6131,6131,613,1839,1532,1226,919,615,https://example.com/bookcovers/26.jpg,https://example.com/bookcovers/small/26.jpg,Literary Fiction,"This is a fictional description for the book 'What's Luck Got to Do with It?: How Smarter Government Can Rescue the American Dream' by David Brown, Sarah Wilson."
27,27,27,27,1,1605112902,3321839770634,Linda Johnson,2019.0,Economics For Dummies,Economics For Dummies,eng,3.23,8480,8480,848,848,1272,3392,2120,848,https://example.com/bookcovers/27.jpg,https://example.com/bookcovers/small/27.jpg,"Young Adult, Historical Fiction",This is a fictional description for the book 'Economics For Dummies' by Linda Johnson.
28,28,28,28,1,4274796181,3331621671878,Sarah Thomas,2009.0,Hunt for the Shadow Wolf: The lost history of wolves in Britain and the myths and stories that surround them,Hunt for the Shadow Wolf: The lost history of wolves in Britain and the myths and stories that surround them,eng,2.29,8317,8317,831,2495,2079,1663,1247,833,https://example.com/bookcovers/28.jpg,https://example.com/bookcovers/small/28.jpg,Thriller,This is a fictional description for the book 'Hunt for the Shadow Wolf: The lost history of wolves in Britain and the myths and stories that surround them' by Sarah Thomas.
29,29,29,29,1,2286648242,4011956877955,"Michael Thomas, John Miller",1950.0,Moving Up On Manolos,Moving Up On Manolos,eng,4.99,6938,6938,693,69,277,693,1734,4165,https://example.com/bookcovers/29.jpg,https://example.com/bookcovers/small/29.jpg,"Literary Fiction, Historical Fiction, Romance","This is a fictional description for the book 'Moving Up On Manolos' by Michael Thomas, John Miller."
30,30,30,30,1,8796581131,1689683019437,James Smith,1930.0,The British Constitution,The British Constitution,eng,2.48,591,591,59,177,147,118,88,61,https://example.com/bookcovers/30.jpg,https://example.com/bookcovers/small/30.jpg,"Mystery, Historical Fiction",This is a fictional description for the book 'The British Constitution' by James Smith.
