id,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,genres,description
1,1,1,1,1,5702532770,6319929223961,"Emily Anderson, Emily Moore, Jennifer Miller",1952.0,Woodrow Wilson,Woodrow Wilson,eng,3.03,2981,2981,298,298,447,1192,745,299,https://example.com/bookcovers/1.jpg,https://example.com/bookcovers/small/1.jpg,"Romance, Literary Fiction, Historical Fiction","This is a fictional description for the book 'Woodrow Wilson' by Emily Anderson, Emily Moore, Jennifer Miller."
2,2,2,2,1,1183435573,8566745437520,"Robert Brown, Jennifer Anderson, John Taylor",1953.0,"Hallo, hier bin ich!","Hallo, hier bin ich!",eng,2.96,4558,4558,455,1367,1139,911,683,458,https://example.com/bookcovers/2.jpg,https://example.com/bookcovers/small/2.jpg,"Historical Fiction, Thriller","This is a fictional description for the book 'Hallo, hier bin ich!' by Robert Brown, Jennifer Anderson, John Taylor."
3,3,3,3,1,3716686377,2395634593543,Michael Miller,1915.0,Die Prüfungen der Engel,Die Prüfungen der Engel,eng,3.9,8982,8982,898,449,898,2245,3592,1798,https://example.com/bookcovers/3.jpg,https://example.com/bookcovers/small/3.jpg,"Non-fiction, Horror, Young Adult",This is a fictional description for the book 'Die Prüfungen der Engel' by Michael Miller.
4,4,4,4,1,3911405015,0685350874500,"Michelle Miller, Michael Thomas",1966.0,A Life's Work: Learning to Overrule My Mindless Brain,A Life's Work: Learning to Overrule My Mindless Brain,eng,1.34,7727,7727,772,2318,1931,1545,1159,774,https://example.com/bookcovers/4.jpg,https://example.com/bookcovers/small/4.jpg,"Science Fiction, Biography","This is a fictional description for the book 'A Life's Work: Learning to Overrule My Mindless Brain' by Michelle Miller, Michael Thomas."
5,5,5,5,1,5390987684,0663287781599,Michael Moore,1941.0,A Bag of Bones N' Chocolate Biscuits,A Bag of Bones N' Chocolate Biscuits,eng,2.17,6110,6110,611,1833,1527,1222,916,612,https://example.com/bookcovers/5.jpg,https://example.com/bookcovers/small/5.jpg,Self-help,This is a fictional description for the book 'A Bag of Bones N' Chocolate Biscuits' by Michael Moore.
6,6,6,6,1,0881481330,9410340951858,"Robert Johnson, Michael Johnson",1962.0,The Gumma wars,The Gumma wars,eng,1.28,13,13,1,3,3,2,1,4,https://example.com/bookcovers/6.jpg,https://example.com/bookcovers/small/6.jpg,"Fantasy, Romance, Horror","This is a fictional description for the book 'The Gumma wars' by Robert Johnson, Michael Johnson."
7,7,7,7,1,2948920644,1625514849832,"Emily Smith, Linda Miller",1906.0,Mimis Village And How Basic Health Care Transformed It,Mimis Village And How Basic Health Care Transformed It,eng,2.71,6216,6216,621,1864,1554,1243,932,623,https://example.com/bookcovers/7.jpg,https://example.com/bookcovers/small/7.jpg,"Young Adult, Thriller","This is a fictional description for the book 'Mimis Village And How Basic Health Care Transformed It' by Emily Smith, Linda Miller."
8,8,8,8,1,4126636953,7712283877722,"Robert Thomas, John Anderson",1991.0,World War II,World War II,eng,3.56,2204,2204,220,110,220,551,881,442,https://example.com/bookcovers/8.jpg,https://example.com/bookcovers/small/8.jpg,"Fantasy, Science Fiction, Young Adult","This is a fictional description for the book 'World War II' by Robert Thomas, John Anderson."
9,9,9,9,1,3035565616,0994752033851,"David Davis, Linda Davis",2019.0,Ninna nanna,Ninna nanna,eng,2.89,1660,1660,166,498,415,332,249,166,https://example.com/bookcovers/9.jpg,https://example.com/bookcovers/small/9.jpg,"Literary Fiction, Science Fiction, Mystery","This is a fictional description for the book 'Ninna nanna' by David Davis, Linda Davis."
10,10,10,10,1,7681585266,1349328134139,"John Taylor, Michael Thomas, John Davis",1977.0,The Holiday Trap,The Holiday Trap,eng,2.08,7264,7264,726,2179,1816,1452,1089,728,https://example.com/bookcovers/10.jpg,https://example.com/bookcovers/small/10.jpg,"Non-fiction, Biography","This is a fictional description for the book 'The Holiday Trap' by John Taylor, Michael Thomas, John Davis."
11,11,11,11,1,4256334878,6172656396694,"Sarah Miller, David Moore",1935.0,Something Special,Something Special,eng,3.1,549,549,54,54,82,219,137,57,https://example.com/bookcovers/11.jpg,https://example.com/bookcovers/small/11.jpg,Self-help,"This is a fictional description for the book 'Something Special' by Sarah Miller, David Moore."
12,12,12,12,1,4549101540,7567521771018,"Sarah Brown, Emily Johnson, John Taylor",1986.0,Palatul de hârtie,Palatul de hârtie,eng,2.34,6681,6681,668,2004,1670,1336,1002,669,https://example.com/bookcovers/12.jpg,https://example.com/bookcovers/small/12.jpg,Non-fiction,"This is a fictional description for the book 'Palatul de hârtie' by Sarah Brown, Emily Johnson, John Taylor."
