user_id,strategy,rank,book_id
20952,collaborative,1,1869
20952,collaborative,2,1633
20952,collaborative,3,1635
20952,collaborative,4,9300
20952,collaborative,5,9301
20952,content,1,1869
20952,content,2,1633
20952,content,3,1635
20952,content,4,9301
20952,content,5,9300
20952,hybrid,1,1869
20952,hybrid,2,1633
20952,hybrid,3,1635
20952,hybrid,4,9300
20952,hybrid,5,9301
3648,collaborative,1,1848
3648,collaborative,2,1849
3648,collaborative,3,1845
3648,collaborative,4,5559
3648,collaborative,5,5175
3648,content,1,1848
3648,content,2,1849
3648,content,3,1845
3648,content,4,5559
3648,content,5,5175
3648,hybrid,1,1848
3648,hybrid,2,1849
3648,hybrid,3,1845
3648,hybrid,4,5559
3648,hybrid,5,5175
819,collaborative,1,11
819,collaborative,2,2203
819,collaborative,3,968
819,collaborative,4,2784
819,collaborative,5,4035
819,content,1,11
819,content,2,968
819,content,3,2784
819,content,4,4035
819,content,5,13
819,hybrid,1,11
819,hybrid,2,968
819,hybrid,3,2784
819,hybrid,4,4035
819,hybrid,5,13
9012,collaborative,1,4261
9012,collaborative,2,4982
9012,collaborative,3,4984
9012,collaborative,4,4987
9012,collaborative,5,9589
9012,content,1,9593
9012,content,2,9595
9012,content,3,9594
9012,content,4,9597
9012,content,5,9598
9012,hybrid,1,9593
9012,hybrid,2,4982
9012,hybrid,3,9594
9012,hybrid,4,9595
9012,hybrid,5,4261
8024,collaborative,1,98
8024,collaborative,2,3882
8024,collaborative,3,4965
8024,collaborative,4,4659
8024,collaborative,5,7815
8024,content,1,98
8024,content,2,3882
8024,content,3,4965
8024,content,4,4659
8024,content,5,7815
8024,hybrid,1,98
8024,hybrid,2,3882
8024,hybrid,3,4965
8024,hybrid,4,4659
8024,hybrid,5,7815
