book_id,user_id,rating,id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,genres,description,rank
107,876,4,107,107,107,1,5307140865,2416649543501,"Linda Taylor, Michelle Wilson",1915.0,Mimis Village And How Basic Health Care Transformed It,Mimis Village And How Basic Health Care Transformed It,eng,3.29,8468,8468,846,846,1270,3387,2117,848,https://example.com/bookcovers/107.jpg,https://example.com/bookcovers/small/107.jpg,"Literary Fiction, Young Adult, Historical Fiction","This is a fictional description for the book 'Mimis Village And How Basic Health Care Transformed It' by Linda Taylor, Michelle Wilson.",0
326,1091,5,326,326,326,1,6520480951,8975782136430,Jennifer Smith,1944.0,What's Luck Got to Do with It?: How Smarter Government Can Rescue the American Dream,What's Luck Got to Do with It?: How Smarter Government Can Rescue the American Dream,eng,4.33,6295,6295,629,125,503,944,2203,2520,https://example.com/bookcovers/326.jpg,https://example.com/bookcovers/small/326.jpg,"Biography, Fantasy, Literary Fiction",This is a fictional description for the book 'What's Luck Got to Do with It?: How Smarter Government Can Rescue the American Dream' by Jennifer Smith.,1
312,466,5,312,312,312,1,139984278,71300517248,Michelle Smith,1943.0,Palatul de hârtie,Palatul de hârtie,eng,2.28,2915,2915,291,874,728,583,437,293,https://example.com/bookcovers/312.jpg,https://example.com/bookcovers/small/312.jpg,Thriller,This is a fictional description for the book 'Palatul de hârtie' by Michelle Smith.,2
357,1275,3,357,357,357,1,1522212215,2685932164912,Linda Johnson,1914.0,Mimis Village And How Basic Health Care Transformed It,Mimis Village And How Basic Health Care Transformed It,eng,2.44,4628,4628,462,1388,1157,925,694,464,https://example.com/bookcovers/357.jpg,https://example.com/bookcovers/small/357.jpg,Literary Fiction,This is a fictional description for the book 'Mimis Village And How Basic Health Care Transformed It' by Linda Johnson.,3
120,371,5,120,120,120,1,5226391021,9187394661988,Michelle Thomas,1952.0,Notes from a Friend: A Quick and Simple Guide to Taking Control of Your Life,Notes from a Friend: A Quick and Simple Guide to Taking Control of Your Life,eng,2.41,4178,4178,417,1253,1044,835,626,420,https://example.com/bookcovers/120.jpg,https://example.com/bookcovers/small/120.jpg,Mystery,This is a fictional description for the book 'Notes from a Friend: A Quick and Simple Guide to Taking Control of Your Life' by Michelle Thomas.,4
78,1262,3,78,78,78,1,5900176028,3802058205429,"David Wilson, John Miller, James Wilson",2013.0,Hunt for the Shadow Wolf: The lost history of wolves in Britain and the myths and stories that surround them,Hunt for the Shadow Wolf: The lost history of wolves in Britain and the myths and stories that surround them,eng,4.02,3105,3105,310,62,248,465,1086,1244,https://example.com/bookcovers/78.jpg,https://example.com/bookcovers/small/78.jpg,Fantasy,"This is a fictional description for the book 'Hunt for the Shadow Wolf: The lost history of wolves in Britain and the myths and stories that surround them' by David Wilson, John Miller, James Wilson.",5
16,42,4,16,16,16,1,6465651060,4141374483762,"Jennifer Smith, Linda Johnson",1948.0,Jilted,Jilted,eng,4.33,6673,6673,667,133,533,1000,2335,2672,https://example.com/bookcovers/16.jpg,https://example.com/bookcovers/small/16.jpg,Biography,"This is a fictional description for the book 'Jilted' by Jennifer Smith, Linda Johnson.",6
179,1759,5,179,179,179,1,4080484711,4818685168266,"John Wilson, John Miller, James Taylor",1999.0,Moving Up On Manolos,Moving Up On Manolos,eng,1.48,4721,4721,472,1416,1180,944,708,473,https://example.com/bookcovers/179.jpg,https://example.com/bookcovers/small/179.jpg,Science Fiction,"This is a fictional description for the book 'Moving Up On Manolos' by John Wilson, John Miller, James Taylor.",7
249,1133,4,249,249,249,1,7472919464,7805884945575,"Jennifer Johnson, Robert Moore, James Davis",1959.0,The Liturgy of Life: The Interrelationship of Sunday Eucharist and Everyday Worship Practices,The Liturgy of Life: The Interrelationship of Sunday Eucharist and Everyday Worship Practices,eng,1.38,2398,2398,239,719,599,479,359,242,https://example.com/bookcovers/249.jpg,https://example.com/bookcovers/small/249.jpg,"Non-fiction, Self-help, Young Adult","This is a fictional description for the book 'The Liturgy of Life: The Interrelationship of Sunday Eucharist and Everyday Worship Practices' by Jennifer Johnson, Robert Moore, James Davis.",8
235,1614,5,235,235,235,1,3009055639,9299018876298,"Sarah Johnson, Linda Miller, Linda Smith",1947.0,The Discerning Heart: Exploring the Christian Path,The Discerning Heart: Exploring the Christian Path,eng,3.91,9300,9300,930,465,930,2325,3720,1860,https://example.com/bookcovers/235.jpg,https://example.com/bookcovers/small/235.jpg,"Mystery, Literary Fiction","This is a fictional description for the book 'The Discerning Heart: Exploring the Christian Path' by Sarah Johnson, Linda Miller, Linda Smith.",9
304,521,1,304,304,304,1,7983580719,1268678926106,"James Davis, Jennifer Davis",1903.0,A Life's Work: Learning to Overrule My Mindless Brain,A Life's Work: Learning to Overrule My Mindless Brain,eng,3.13,837,837,83,83,125,334,209,86,https://example.com/bookcovers/304.jpg,https://example.com/bookcovers/small/304.jpg,"Non-fiction, Thriller","This is a fictional description for the book 'A Life's Work: Learning to Overrule My Mindless Brain' by James Davis, Jennifer Davis.",10
261,202,2,261,261,261,1,5436026143,7581907593937,"Jennifer Wilson, John Moore, James Davis",1964.0,Something Special,Something Special,eng,1.24,6492,6492,649,1947,1623,1298,973,651,https://example.com/bookcovers/261.jpg,https://example.com/bookcovers/small/261.jpg,"Biography, Historical Fiction","This is a fictional description for the book 'Something Special' by Jennifer Wilson, John Moore, James Davis.",11
72,1088,5,72,72,72,1,9449850102,7050213035159,Linda Moore,1909.0,When the Night Falls,When the Night Falls,eng,4.46,9134,9134,913,182,730,1370,3196,3656,https://example.com/bookcovers/72.jpg,https://example.com/bookcovers/small/72.jpg,"Biography, Young Adult, Literary Fiction",This is a fictional description for the book 'When the Night Falls' by Linda Moore.,12
