book_id,book_id_encoded
364,332
389,350
115,109
371,336
86,81
229,216
488,440
171,160
247,232
231,218
303,281
1,0
332,307
76,72
472,424
368,334
450,403
480,432
403,362
91,86
176,165
249,234
97,92
319,296
15,14
36,35
32,31
500,452
381,343
207,194
74,70
421,379
399,359
125,117
20,19
24,23
154,143
139,129
477,429
435,389
157,146
334,309
434,388
455,408
141,131
322,298
175,164
309,287
499,451
346,318
398,358
223,210
62,61
444,398
384,346
63,62
112,106
158,147
142,132
119,113
407,366
427,385
30,29
476,428
144,134
173,162
259,241
252,235
85,80
383,345
101,96
190,179
162,151
299,277
51,50
410,369
430,387
260,242
98,93
269,249
296,274
29,28
96,91
471,423
137,127
328,303
416,374
388,349
26,25
324,300
339,312
166,155
463,415
445,399
13,12
325,301
182,171
313,291
165,154
408,367
220,207
14,13
475,427
278,258
357,326
187,176
34,33
155,144
288,267
295,273
106,100
242,228
8,7
232,219
100,95
75,71
254,237
493,445
290,269
172,161
265,246
473,425
321,297
37,36
280,260
9,8
451,404
95,90
82,77
284,264
291,270
22,21
375,339
148,137
195,184
99,94
49,48
204,191
490,442
121,114
181,170
479,431
406,365
289,268
323,299
52,51
164,153
163,152
17,16
150,139
132,123
109,103
331,306
363,331
395,356
6,5
454,407
215,202
470,422
423,381
35,34
478,430
282,262
127,119
219,206
42,41
412,371
459,411
404,363
203,190
469,421
378,341
161,150
140,130
305,283
350,320
27,26
44,43
281,261
104,98
333,308
72,69
277,257
456,409
422,380
130,121
307,285
174,163
397,357
440,394
196,185
146,135
262,244
292,271
272,252
297,275
7,6
437,391
53,52
464,416
492,444
413,372
294,272
57,56
362,330
31,30
194,183
25,24
330,305
240,226
94,89
390,351
122,115
271,251
467,419
344,316
243,229
33,32
267,248
177,166
448,401
58,57
156,145
439,393
279,259
46,45
336,310
40,39
274,254
41,40
405,364
352,322
178,167
213,200
301,279
453,406
80,76
275,255
206,193
393,354
485,437
466,418
48,47
392,353
208,195
256,238
419,377
494,446
185,174
377,340
131,122
222,209
116,110
68,66
2,1
391,352
316,293
366,333
117,111
79,75
118,112
108,102
183,172
168,157
310,288
228,215
147,136
481,433
311,289
426,384
124,116
43,42
286,266
496,448
19,18
111,105
452,405
110,104
306,284
273,253
184,173
93,88
23,22
417,375
458,410
107,101
84,79
233,220
343,315
385,347
483,435
18,17
218,205
38,37
102,97
3,2
159,148
347,319
338,311
394,355
497,449
491,443
345,317
12,11
217,204
361,329
460,412
436,390
380,342
308,286
55,54
424,382
212,199
443,397
261,243
209,196
462,414
28,27
402,361
56,55
186,175
314,292
225,212
484,436
224,211
355,324
318,295
4,3
191,180
221,208
180,169
465,417
360,328
387,348
441,395
447,400
283,263
246,231
263,245
468,420
382,344
87,82
351,321
237,223
226,213
374,338
143,133
198,186
133,124
370,335
461,413
188,177
149,138
415,373
179,168
16,15
302,280
270,250
238,224
167,156
372,337
300,278
312,290
90,85
239,225
486,438
214,201
59,58
77,73
230,217
169,158
420,378
342,314
202,189
354,323
126,118
160,149
474,426
428,386
236,222
276,256
70,67
83,78
227,214
88,83
241,227
253,236
442,396
66,64
285,265
495,447
114,108
258,240
45,44
498,450
438,392
189,178
138,128
244,230
482,434
50,49
60,59
71,68
170,159
304,282
487,439
326,302
201,188
105,99
449,402
151,140
205,192
92,87
67,65
425,383
11,10
329,304
257,239
193,182
211,198
134,125
192,181
5,4
489,441
266,247
356,325
21,20
418,376
135,126
199,187
89,84
298,276
359,327
78,74
10,9
401,360
411,370
152,141
113,107
47,46
153,142
210,197
128,120
341,313
54,53
235,221
216,203
65,63
317,294
61,60
248,233
39,38
409,368
