book_id,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,published_year,original_publication_year,original_title,image_url,publisher,description,genres
1,The Twelve Chairs,"Ilʹi︠a︡ Ilʹf, Evgeniĭ Petrov",5.0,0810114844,9780810114845,en,420,1,0,0,0,0,1,1997,1997,The Twelve Chairs,https://books.google.com/books/content?id=Ru58xAaPZxcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Northwestern University Press,"Ostap Bender is an unemployed con artist living by his wits in postrevolutionary Soviet Russia. He joins forces with Ippolit Matveyevich Vorobyaninov, a former nobleman who has returned to his hometown to find a cache of missing jewels which were hidden in some chairs that have been appropriated by the Soviet authorities. The search for the bejeweled chairs takes these unlikely heroes from the provinces to Moscow to the wilds of Soviet Georgia and the Trans-caucasus mountains; on their quest they encounter a wide variety of characters: from opportunistic Soviet bureaucrats to aging survivors of the prerevolutionary propertied classes, each one more selfish, venal, and ineffective than the one before.",Fiction
2,Sense and Sensibility,Jane Austen,2.57,155111125X,9781551111254,en,436,4980,1494,1245,996,747,498,2001,2001,Sense and Sensibility,https://books.google.com/books/content?id=3FkUf4Vd6sAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Broadview Press,"Jane Austen’s first published novel, Sense and Sensibility, is a witty satire of the sentimental novel, a popular genre in Britain throughout the 1790s and the Regency. When it first appeared in 1811, the words in its title carried significant cultural weight beyond the confines of the novel, and into both popular and learned discourse. Through her dual heroines, Austen addresses, and satirizes, notions of sense and sensibility, and engages with the issues of inheritance, marriage, and love. The story concerns two sisters: the level-headed Elinor and the passionate and impulsive Marianne. When their father dies, his son by a previous marriage assumes possession of the family home. Marianne and Elinor, left to the care of their mercenary brother John and his wife Fanny, must remove to a cottage with their mother. Each sister meets a man in whom she is interested, and as with other Austen novels, requited love does not come easily. This newly annotated edition offers a thorough and pe...",Fiction
3,三國志演義 : Romance of the three kingdoms,Guanzhong Luo,2.78,9186416198,6761278798086,zh-CN,1242,7451,2235,1862,1490,1117,747,1950,1950,三國志演義 : Romance of the three kingdoms,https://books.google.com/books/content?id=7YrxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,พีเคพิงเคียว,三國志演義 : Romance of the three kingdoms Guanzhong Luo,Architecture
4,Ready Player Two,Ernest Cline,2.0,1524761354,9781524761356,en,385,3,0,0,0,0,3,2020,2020,Ready Player Two,https://books.google.com/books/content?id=FOHtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Ballantine Books,"#1 NEW YORK TIMES BESTSELLER • The thrilling sequel to the beloved worldwide bestseller Ready Player One, the near-future adventure that inspired the blockbuster Steven Spielberg film. NAMED ONE OF THE BEST BOOKS OF THE YEAR BY THE WASHINGTON POST • “The game is on again. . . . A great mix of exciting fantasy and threatening fact.”—The Wall Street Journal AN UNEXPECTED QUEST. TWO WORLDS AT STAKE. ARE YOU READY? Days after winning OASIS founder James Halliday’s contest, Wade Watts makes a discovery that changes everything. Hidden within Halliday’s vaults, waiting for his heir to find, lies a technological advancement that will once again change the world and make the OASIS a thousand times more wondrous—and addictive—than even Wade dreamed possible. With it comes a new riddle, and a new quest—a last Easter egg from Halliday, hinting at a mysterious prize. And an unexpected, impossibly powerful, and dangerous new rival awaits, one who’ll kill millions to get what he wants. Wade’s life...",Fiction
5,Journey to the Center of the Earth,Jules Verne,3.5,0553902547,9780553902549,en,242,3,0,0,0,1,2,2006,2006,Journey to the Center of the Earth,https://books.google.com/books/content?id=icKmd-tlvPMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Bantam,"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth’s very core. In his quest to penetrate the planet’s primordial secrets, the geologist—together with his quaking nephew Axel and their devoted guide, Hans—discovers an astonishing subterranean menagerie of prehistoric proportions. Verne’s imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor. As David Brin notes in his Introduction, though Verne never knew the term “science fiction,” Journey to the Centre of the Earth is “inarguably one of the wellsprings from which it all began.”",Fiction
6,The Picture of Dorian Gray,Oscar Wilde,2.57,0359788335,9780359788330,en,188,7818,2345,1954,1563,1172,784,2019,2019,The Picture of Dorian Gray,https://books.google.com/books/content?id=6vGiDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Lulu.com,"The Picture of Dorian Gray is the only published novel by Oscar Wilde, appearing as the lead story in Lippincott's Monthly Magazine on 20 June 1890, printed as the July 1890 issue. The magazine's editors feared the story was indecent as submitted, so they censored roughly 500 words, without Wilde's knowledge, before publication. But even with that, the story was still greeted with outrage by British reviewers, some of whom suggested that Wilde should be prosecuted on moral grounds, leading Wilde to defend the novel aggressively in letters to the British press. Today, Wilde's fin de siècle novella is considered a classic. This new edition from Immortal Books includes footnotes and images.",Fiction
7,The Vegetarian,Han Kang,4.0,0553448196,9780553448191,en,209,2,0,0,0,0,2,2016,2016,The Vegetarian,https://books.google.com/books/content?id=qtDvCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Hogarth,"FROM HAN KANG, WINNER OF THE 2024 NOBEL PRIZE IN LITERATURE “[Han Kang’s] intense poetic prose . . . exposes the fragility of human life.”—The Nobel Committee for Literature, in the citation for the Nobel Prize A NEW YORK TIMES BESTSELLER WINNER OF THE INTERNATIONAL BOOKER PRIZE ONE OF THE NEW YORK TIMES’S 100 BEST BOOKS OF THE 21ST CENTURY “Ferocious.”—The New York Times Book Review (Ten Best Books of the Year) “Both terrifying and terrific.”—Lauren Groff “Provocative [and] shocking.”—The Washington Post Before the nightmares began, Yeong-hye and her husband lived an ordinary, controlled life. But the dreams—invasive images of blood and brutality—torture her, driving Yeong-hye to purge her mind and renounce eating meat altogether. It’s a small act of independence, but it interrupts her marriage and sets into motion an increasingly grotesque chain of events at home. As her husband, her brother-in-law and sister each fight to reassert their control, Yeong-hye obsessively defends the ...",Fiction
8,The Mayor of Casterbridge,Thomas Hardy,3.99,0140435131,9780140435139,en,470,8704,435,870,2176,3481,1742,1997,1997,The Mayor of Casterbridge,https://books.google.com/books/content?id=AlV4vm1EqN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Penguin Classics,"Michael Henchard gets drunk at a fair and sells his wife and child for five guineas to a sailor. Henchard proves to be violent, selfish, greedy and crude, yet at the same time he is magnanimous and humble.",Fiction
9,Beach Read,Emily Henry,3.88,1984806742,9781984806741,en,401,8560,428,856,2140,3424,1712,2020,2020,Beach Read,https://books.google.com/books/content?id=lxGuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Penguin,"FROM THE #1 NEW YORK TIMES BESTSELLING AUTHOR OF PEOPLE WE MEET ON VACATION AND BOOK LOVERS! A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters. Augustus Everett is an acclaimed author of literary fiction. January Andrews writes bestselling romance. When she pens a happily ever after, he kills off his entire cast. They’re polar opposites. In fact, the only thing they have in common is that for the next three months, they're living in neighboring beach houses, broke, and bogged down with writer's block. Until, one hazy evening, one thing leads to another and they strike a deal designed to force them out of their creative ruts: Augustus will spend the summer writing something happy, and January will pen the next Great American Novel. She’ll take him on field trips worthy of any rom-com montage, and he’ll take her to interview surviving members of a ...",Fiction
10,The Plague,Albert Camus,4.5,0679720219,9780679720218,en,312,14,0,0,1,3,10,1991,1991,The Plague,https://books.google.com/books/content?id=KVGd-NabpW0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Vintage,"“Its relevance lashes you across the face.” —Stephen Metcalf, The Los Angeles Times • “A redemptive book, one that wills the reader to believe, even in a time of despair.” —Roger Lowenstein, The Washington Post A haunting tale of human resilience and hope in the face of unrelieved horror, Albert Camus' iconic novel about an epidemic ravaging the people of a North African coastal town is a classic of twentieth-century literature. The townspeople of Oran are in the grip of a deadly plague, which condemns its victims to a swift and horrifying death. Fear, isolation and claustrophobia follow as they are forced into quarantine. Each person responds in their own way to the lethal disease: some resign themselves to fate, some seek blame, and a few, like Dr. Rieux, resist the terror. An immediate triumph when it was published in 1947, The Plague is in part an allegory of France's suffering under the Nazi occupation, and a timeless story of bravery and determination against the precariousnes...",Fiction
